	score1	score2	score3	score4
datum206	0.668	14.792	12.930	32.474
datum207	6.429	1.892	18.151	26.782
datum208	15.889	16.213	19.864	25.179
datum209	3.371	8.251	18.561	42.593
datum210	14.956	13.213	11.868	1331.728
datum211	6.661	15.898	15.595	29.160
datum212	14.041	13.957	14.114	59.354
datum213	0.898	13.557	12.659	49.168
datum214	12.362	13.405	11.908	77.152
datum215	18.585	11.401	10.990	68.256
datum216	8.279	4.879	16.241	89.988
datum217	13.562	0.805	11.005	21.639
datum218	7.495	2.457	16.961	21.062
datum219	18.208	2.061	13.850	27.503
datum220	13.861	14.891	17.734	22.891
datum221	17.883	4.887	13.349	37.694
datum222	12.178	6.416	10.888	21.266
datum223	15.439	8.705	17.515	37.381
datum224	5.931	14.324	10.495	35.299
datum225	14.367	12.241	14.464	22.201
datum226	15.733	7.002	17.890	25.742
datum227	7.992	14.482	12.654	28.984
datum228	11.567	16.633	18.688	111.974
datum229	16.395	2.644	13.891	27.720
datum230	18.666	16.419	18.249	136.659
datum231	5.109	2.803	13.162	27.582
datum232	17.397	10.313	18.193	32.462
datum233	18.788	0.988	16.501	28.267
datum234	14.266	10.459	10.248	39.274
datum235	12.114	8.190	12.094	21.840
datum236	17.603	16.695	18.991	41.692
datum237	14.750	2.229	15.548	127.568
datum238	7.837	9.522	12.132	74.935
datum239	17.190	16.453	17.060	75.874
datum240	8.825	15.797	18.016	20.249
datum241	14.382	2.613	13.395	24.041
datum242	19.495	12.063	12.744	20.815
datum243	16.312	7.997	18.383	22.793
datum244	17.245	11.797	18.617	36.469
datum245	12.370	1.550	16.208	231.913
datum246	12.815	4.617	12.730	21.511
datum247	19.563	14.528	19.686	29.680
datum248	15.833	12.543	10.446	407.896
datum249	11.024	6.489	19.895	547.032
datum250	3.913	5.482	16.076	31.595
datum251	10.695	15.445	12.164	27.194
datum252	11.434	10.886	15.681	26.866
datum253	7.534	0.755	10.088	21.787
datum254	18.541	12.840	14.918	24.422
datum255	4.204	15.112	19.536	31.373
datum256	19.189	5.082	17.299	46.566
datum257	2.181	15.460	12.599	21.679
datum258	4.245	15.873	11.697	47.136
datum259	8.730	9.526	11.342	51.144
datum260	17.956	1.341	11.578	29.225
datum261	9.721	16.454	17.242	46.933
datum262	7.600	14.373	18.649	29.068
datum263	18.663	0.784	11.075	53.287
datum264	11.426	14.972	16.342	154.316
datum265	15.442	10.777	18.823	117.273
datum266	6.329	14.710	13.648	30.146
datum267	3.421	15.513	15.343	47.404
datum268	16.503	15.505	19.590	46050.783
datum269	16.668	12.843	17.605	35.391
datum270	19.858	12.581	11.047	23.501
datum271	2.191	16.518	11.941	21.735
datum272	8.963	5.397	17.477	45.329
datum273	12.665	14.191	13.860	23.182
datum274	10.248	4.271	11.458	28.487
datum275	0.280	14.580	18.146	20.122
datum276	9.032	11.809	15.174	47.990
datum277	11.278	15.665	13.259	145.239
datum278	1.860	6.125	14.785	93.922
datum279	12.978	3.055	12.471	26.562
datum280	14.805	6.893	16.376	75.990
datum281	17.248	14.036	19.433	33.116
datum282	4.508	8.365	15.186	26.816
datum283	16.643	3.006	13.291	53.806
datum284	5.529	12.452	11.762	24.239
datum285	12.588	15.202	13.649	25.266
datum286	16.213	15.520	14.661	135.598
datum287	10.171	9.541	16.415	44.491
datum288	19.712	14.154	11.191	262.259
datum289	16.857	15.284	18.578	2023.706
datum290	6.790	14.936	15.466	25.620
datum291	6.735	13.374	13.240	101.550
datum292	16.465	9.447	12.165	48.311
datum293	16.025	0.636	19.976	44.075
datum294	9.183	2.275	16.337	26.718
datum295	16.523	4.824	16.067	68.321
datum296	13.728	14.977	12.319	131.754
datum297	7.572	12.923	13.150	25.043
datum298	13.511	15.502	14.072	20.999
datum299	18.232	9.277	14.622	2299.703
datum300	9.122	15.130	15.166	126.298
datum301	9.207	2.947	18.965	25.653
datum302	15.941	6.413	17.207	61.482
datum303	13.859	15.255	18.892	72.445
datum304	16.079	16.810	18.997	186.526
datum305	19.347	13.001	11.160	23.299
datum306	16.929	7.474	13.524	57.959
datum307	10.466	13.977	16.183	26.961
datum308	8.351	4.183	11.988	44.009
datum309	7.316	12.740	11.700	34.474
datum310	18.462	4.576	16.823	146.934
datum311	16.744	9.816	14.015	58.016
datum312	14.184	13.065	19.130	37.236
datum313	17.209	12.630	12.849	28.013
datum314	19.635	5.945	15.863	106.972
datum315	19.745	11.896	19.622	106.632
datum316	4.867	0.898	13.406	46.143
datum317	14.579	6.439	16.174	92.064
datum318	0.121	8.666	17.634	172.250
datum319	2.123	7.865	12.801	46.124
datum320	0.939	0.041	15.535	131.127
datum321	9.799	3.669	15.629	42.732
datum322	7.072	16.469	16.296	246.026
datum323	6.519	6.570	18.839	100.892
datum324	2.847	10.540	16.669	21.091
datum325	11.029	2.618	17.433	24.164
datum326	11.196	0.170	16.744	57.719
datum327	18.704	8.946	17.304	22.525
datum328	4.620	6.170	14.348	327.578
datum329	19.090	6.110	17.902	37.646
datum330	4.299	1.378	16.623	29.714
datum331	2.421	3.276	14.466	35.875
datum332	9.205	14.429	15.654	62.904
datum333	18.438	14.957	11.217	82.748
datum334	11.019	11.697	10.165	199.381
datum335	2.938	5.313	10.959	38.248
datum336	18.047	3.397	13.843	131.730
datum337	2.966	8.825	16.022	53.959
datum338	12.678	15.216	10.758	23.801
datum339	15.589	5.677	15.133	59.246
datum340	13.924	7.329	12.967	28.266
datum341	19.317	16.312	11.560	24.369
datum342	4.412	11.958	13.311	25.496
datum343	1.832	15.214	13.483	25.070
datum344	6.092	15.392	11.315	2710.869
datum345	4.836	2.948	18.913	31.312
datum346	4.179	14.816	17.487	73.725
datum347	4.481	12.560	14.954	31.982
datum348	15.691	4.739	11.338	29.913
datum349	1.311	3.337	11.803	20.903
datum350	0.581	12.907	11.841	380.809
datum351	0.361	1.897	15.729	21.225
datum352	7.393	10.002	12.821	35.910
datum353	8.418	4.366	19.348	20.289
datum354	16.357	5.151	10.107	444.207
datum355	11.371	10.753	12.220	31.147
datum356	3.289	3.057	11.104	35.590
datum357	16.984	5.858	10.380	23.523
datum358	15.323	0.158	14.974	60.464
datum359	18.571	5.729	13.868	21.089
datum360	8.622	7.054	15.033	26.057
datum361	15.024	9.297	14.072	23.112
datum362	9.024	15.916	13.943	69.886
datum363	1.530	9.772	19.428	33.961
datum364	16.380	13.402	14.295	39.060
datum365	2.110	16.788	14.176	32.664
datum366	7.513	11.801	10.831	21.019
datum367	9.040	6.906	15.050	29.904
datum368	4.661	9.129	15.736	36.385
datum369	6.956	2.864	13.388	26.602
datum370	14.686	3.654	10.201	24.951
datum371	19.263	7.850	17.355	35.677
datum372	5.631	13.816	17.846	42.221
datum373	4.869	2.656	15.409	26.007
datum374	16.269	16.563	13.264	27.773
datum375	14.746	1.895	12.392	73.553
datum376	10.746	16.701	13.301	33.884
datum377	10.270	7.191	17.112	39.462
datum378	14.076	13.555	17.073	45.730
datum379	15.609	5.958	14.960	70.560
datum380	10.186	2.990	10.673	20.153
datum381	0.567	9.644	14.002	3043.929
datum382	15.143	1.412	14.010	56.794
datum383	12.335	4.224	19.655	42.039
datum384	17.313	9.672	18.586	32.331
datum385	17.075	10.687	16.703	27.775
datum386	10.967	15.828	16.120	44.017
datum387	19.248	6.344	17.777	29.607
datum388	16.747	5.856	12.972	74.034
datum389	15.867	5.233	12.736	79.205
datum390	2.396	7.602	16.597	58.001
datum391	19.349	4.229	15.889	51.644
datum392	12.419	15.921	16.983	22.420
datum393	9.834	13.140	10.427	24.884
datum394	13.943	16.566	10.925	45.771
datum395	18.323	7.629	15.460	39.691
datum396	12.356	8.538	13.848	492.412
datum397	15.459	6.531	15.977	29.066
datum398	10.045	16.656	18.037	22.047
datum399	7.616	12.339	10.304	28.421
datum400	8.309	3.720	13.010	39.958
datum401	6.821	11.677	15.584	42.949
datum402	8.560	11.283	18.286	116.373
datum403	5.893	12.552	13.477	31.093
datum404	8.971	0.417	14.562	39.390
datum405	3.299	6.070	10.366	22.365
datum406	13.362	13.188	16.762	27.337
datum407	16.041	1.584	19.813	27.686
datum408	11.660	11.982	13.129	21.652
datum409	12.955	15.389	17.061	194.685
datum410	17.238	8.418	12.291	42.685
datum411	8.917	1.575	17.105	475.419
datum412	14.683	9.652	13.312	22.597
datum413	6.002	3.067	19.951	29.765
datum414	1.615	7.870	11.564	39.566
datum415	12.001	8.232	15.562	49.609
datum416	1.467	10.944	11.869	21.801
datum417	17.511	1.568	19.124	34.738
datum418	14.030	8.966	16.987	24.568
datum419	3.685	14.114	13.522	99.330
datum420	17.528	13.247	15.142	60.331
datum421	0.758	7.104	10.549	34.362
datum422	15.672	10.877	16.481	22.819
datum423	4.874	14.275	15.986	20.315
datum424	14.585	11.583	12.548	693.665
datum425	11.026	6.437	17.531	21.507
datum426	17.560	8.725	14.490	82.807
datum427	16.294	8.130	15.232	47.337
datum428	19.031	11.633	10.994	80.259
datum429	9.003	16.559	14.064	78.479
datum430	1.303	10.358	17.251	21.808
datum431	6.433	16.340	16.187	59.227
datum432	10.896	13.595	15.879	27.006
datum433	5.334	2.173	18.664	24.692
datum434	8.413	16.781	15.079	39.982
datum435	14.681	14.018	11.094	60.992
datum436	7.840	4.445	16.278	23.206
datum437	1.221	6.900	15.021	23.427
datum438	6.984	6.182	10.596	30.183
datum439	12.620	16.543	18.841	33.573
datum440	16.877	16.211	16.151	24.202
datum441	8.919	9.833	11.241	28.618
datum442	17.837	14.625	13.464	27.161
datum443	4.666	12.992	11.963	37.130
datum444	4.073	4.029	17.608	60.294
datum445	2.720	9.632	14.173	29.920
datum446	3.555	4.034	13.957	25.946
datum447	18.688	9.124	10.830	20.091
datum448	13.984	14.465	16.509	44.572
datum449	17.890	10.384	19.702	26.130
datum450	9.938	1.625	11.810	24.134
datum451	16.593	16.595	15.864	128.227
datum452	9.777	8.129	11.478	22.221
datum453	0.201	5.674	13.956	958.017
datum454	6.647	3.016	18.976	587.364
datum455	14.836	10.359	10.036	313.190
datum456	17.818	14.494	15.668	692.527
datum457	4.011	8.894	16.277	34.700
datum458	4.034	10.813	18.732	40.782
datum459	8.303	7.751	17.574	56.408
datum460	6.765	11.775	18.698	78.816
datum461	16.752	2.872	12.088	24.938
datum462	4.560	11.262	16.298	34.323
datum463	15.975	16.055	19.454	33.216
datum464	13.547	4.989	16.732	58.236
datum465	18.710	8.702	17.548	20.152
datum466	4.307	5.373	13.956	63.933
datum467	17.380	14.071	18.045	75.725
datum468	7.504	2.841	17.626	50.245
datum469	4.605	12.747	19.093	68.915
datum470	6.726	16.462	17.033	22.940
datum471	0.391	14.408	18.146	81.522
datum472	0.107	1.065	17.032	69.901
datum473	14.498	15.803	16.532	87.864
datum474	0.484	0.732	10.238	22.481
datum475	5.874	3.950	17.361	64.087
datum476	13.465	16.252	14.063	85.335
datum477	12.604	6.270	10.425	62.036
datum478	19.520	5.076	11.693	50.364
datum479	0.381	6.251	12.822	32.787
datum480	16.441	2.098	12.783	850.642
datum481	1.424	2.110	13.248	48.412
datum482	3.997	1.771	13.073	20.490
datum483	3.581	16.487	14.268	104.084
datum484	9.468	14.651	11.182	23.061
datum485	2.566	15.293	19.270	36.535
datum486	11.240	13.718	10.504	47.497
datum487	19.041	4.145	13.514	32.991
datum488	3.247	12.889	13.257	53.941
datum489	16.612	11.680	15.779	20.334
datum490	7.952	5.648	12.075	90505.479
datum491	18.401	2.208	10.160	34.350
datum492	14.932	1.628	14.205	30.024
datum493	13.529	14.183	16.776	27.952
datum494	13.051	9.745	16.774	218.645
datum495	6.366	7.176	13.164	35.305
datum496	6.274	6.977	13.842	25.043
datum497	3.539	2.876	18.896	127.166
datum498	16.932	2.844	16.042	27.929
datum499	13.642	0.530	14.062	54.745
datum500	10.049	10.068	10.962	37.698
datum501	19.980	6.455	15.842	53.975
datum502	16.595	2.970	17.901	40.507
datum503	19.702	0.339	13.049	22.628
datum504	13.336	10.149	16.386	155.696
datum505	14.357	12.581	10.939	8460.281
datum506	15.313	10.000	12.943	32.901
datum507	5.477	14.405	18.122	1401.945
datum508	14.455	8.345	16.833	20.527
datum509	15.769	15.730	12.713	20.394
datum510	6.474	14.749	13.523	50.778
datum511	6.258	4.331	12.187	31.846
datum512	1.534	3.951	12.660	69.278
datum513	9.640	1.983	18.485	67.478
datum514	3.067	11.539	13.781	22.835
datum515	9.950	6.160	18.301	21.337
datum516	13.694	8.355	11.993	36.637
datum517	14.396	3.610	11.071	20.324
datum518	9.615	15.970	13.417	39.952
datum519	1.462	5.473	17.051	45.204
datum520	15.975	8.177	16.820	50.974
datum521	17.762	8.442	17.510	23.597
datum522	3.540	11.955	10.117	63.247
datum523	12.187	12.133	14.827	20.471
datum524	8.759	2.910	15.475	1811.382
datum525	10.959	1.879	12.104	21.399
datum526	10.979	0.458	17.755	414.776
datum527	19.305	15.217	15.919	33.699
datum528	12.070	14.026	15.978	66.056
datum529	1.642	16.754	10.489	37.322
datum530	17.904	6.274	12.620	36.449
datum531	12.249	13.129	10.110	78.855
datum532	15.524	1.008	12.672	79.471
datum533	8.258	11.447	11.946	48.385
datum534	14.505	5.741	15.911	22.338
datum535	12.648	12.030	10.307	48.024
datum536	19.792	1.107	10.196	22.604
datum537	0.209	9.583	15.958	20.041
datum538	12.509	11.445	10.047	20.185
datum539	5.183	15.843	12.057	37.213
datum540	2.108	10.212	12.137	28.031
datum541	7.522	9.562	17.959	21.366
datum542	10.490	0.748	14.744	39.911
datum543	19.639	7.664	18.137	26.277
datum544	5.657	8.833	11.886	142.194
datum545	5.206	15.977	11.775	57.253
datum546	1.857	8.813	15.091	31.485
datum547	11.444	12.439	12.052	23.842
datum548	3.831	5.716	13.953	83.610
datum549	16.422	0.067	10.023	267.819
datum550	2.912	6.626	19.595	30.742
datum551	5.755	0.771	14.541	42.055
datum552	4.641	4.792	14.134	55.357
datum553	18.357	13.487	18.867	53.339
datum554	16.593	16.227	10.852	50.277
datum555	18.005	12.674	13.126	50.622
datum556	18.184	8.832	12.733	40.322
datum557	16.835	14.404	14.921	90.149
datum558	18.400	5.638	18.529	27.704
datum559	0.215	14.097	10.254	29.098
datum560	13.305	14.187	14.812	126.203
datum561	6.547	8.880	18.398	109.296
datum562	2.171	12.294	16.656	149.026
datum563	2.752	13.226	15.618	40.171
datum564	17.653	4.889	16.619	36.858
datum565	4.323	14.820	18.757	277.143
datum566	14.544	16.134	16.500	189.914
datum567	12.507	4.269	15.263	27.039
datum568	16.700	13.363	11.852	90.713
datum569	3.369	12.907	11.064	125.392
datum570	8.968	6.324	11.171	151.936
datum571	9.437	4.624	14.792	36.653
datum572	15.911	2.898	14.414	102.751
datum573	1.531	2.240	13.404	21.428
datum574	10.822	7.366	15.164	144.191
datum575	8.055	0.706	19.539	22.097
datum576	13.533	11.069	18.196	25.620
datum577	4.727	12.826	15.010	57.477
datum578	14.872	16.157	13.599	22.421
datum579	7.282	11.228	15.177	128.840
datum580	5.721	2.509	16.592	36.088
datum581	13.785	12.022	10.782	191.749
datum582	5.372	15.052	14.308	27.117
datum583	14.624	2.085	13.505	26.407
datum584	6.798	8.699	10.356	29.270
datum585	15.411	16.757	12.872	142.563
datum586	11.078	8.724	11.316	4793.471
datum587	15.678	6.330	18.217	34.073
datum588	7.988	0.671	15.804	24.703
datum589	19.014	13.888	16.672	31.492
datum590	4.625	10.194	12.191	41.165
datum591	6.900	1.903	10.614	136.837
datum592	3.353	1.888	10.762	70.310
datum593	1.283	8.718	18.525	41.958
datum594	17.856	11.585	11.100	56.454
datum595	10.683	9.170	15.105	1820.485
datum596	0.112	9.668	14.366	33.122
datum597	3.330	13.945	15.920	39.928
datum598	14.902	12.233	16.520	64.862
datum599	18.743	0.527	18.109	31.600
datum600	7.481	15.391	10.615	33.087
datum601	16.355	14.814	17.511	141.540
datum602	5.094	13.198	13.876	143.949
datum603	9.629	9.661	11.725	148.729
datum604	5.203	2.232	13.586	30.443
datum605	15.892	1.082	16.128	128.026
datum606	7.554	2.285	19.508	70.735
datum607	9.407	2.277	19.719	23.538
datum608	13.515	12.463	12.798	204.083
datum609	16.807	3.158	10.062	94.607
datum610	19.656	16.522	13.423	84.337
datum611	15.586	15.464	19.323	28.628
datum612	6.369	16.073	12.038	2655.683
datum613	8.929	9.189	11.215	34.125
datum614	17.807	13.127	10.323	22.000
datum615	7.660	12.824	11.296	382.086
datum616	1.456	3.396	16.821	27.752
datum617	11.933	4.359	14.606	42.067
datum618	0.906	14.261	16.221	268.072
datum619	0.924	14.079	19.943	22.978
datum620	3.537	3.461	15.869	74.506
datum621	13.408	8.192	19.497	38.760
datum622	0.767	14.231	17.119	54.362
datum623	2.003	10.759	17.728	128.148
datum624	9.726	12.821	11.379	253.073
datum625	8.904	5.088	12.791	521.557
datum626	4.341	15.656	13.517	46.580
datum627	0.277	0.217	10.232	60.660
datum628	12.709	14.062	12.747	26.603
datum629	11.930	15.591	17.184	88.992
datum630	15.159	10.928	12.130	36.890
datum631	11.358	15.903	12.923	23.185
datum632	12.254	12.159	11.392	140.028
datum633	4.441	1.286	18.046	112.376
datum634	1.146	14.675	14.516	102.852
datum635	9.703	5.547	18.905	162.697
datum636	3.956	8.656	14.954	105.146
datum637	17.446	3.329	16.818	22.737
datum638	19.899	10.522	12.129	562.351
datum639	8.150	2.564	14.475	33.829
datum640	1.904	2.189	12.381	43.645
datum641	16.536	14.012	15.220	36.053
datum642	3.061	15.074	17.325	377.890
datum643	12.864	11.603	11.644	519.107
datum644	4.639	13.698	14.943	128.726
datum645	5.409	2.428	10.627	58.800
datum646	9.001	12.588	11.772	42.799
datum647	18.046	5.925	10.431	83.279
datum648	11.250	2.827	10.962	53.879
datum649	6.241	9.230	18.384	52.965
datum650	6.334	14.900	15.232	39.802
datum651	14.901	9.018	16.218	27.123
datum652	16.950	3.015	19.315	68.038
datum653	4.566	15.129	11.004	51.983
datum654	5.454	9.002	14.275	71.330
datum655	2.197	14.806	11.876	38.090
datum656	13.583	9.755	10.952	21.970
datum657	14.254	5.451	10.852	79.362
datum658	10.104	3.415	13.679	97.779
datum659	7.027	12.694	14.745	38.779
datum660	16.856	16.548	11.858	27.685
datum661	7.273	0.023	11.743	29.935
datum662	18.271	0.701	14.688	195.455
datum663	5.998	8.189	15.534	20.386
datum664	4.936	9.128	11.688	61.357
datum665	17.819	8.236	11.665	500.363
datum666	12.762	9.682	10.804	77.928
datum667	17.387	4.394	19.872	27.265
datum668	10.890	13.364	11.441	99.338
datum669	1.427	14.971	17.549	28.209
datum670	7.908	1.560	16.550	34.414
datum671	16.906	16.806	13.363	50.690
datum672	11.734	0.126	11.080	75.146
datum673	6.860	9.006	15.059	51.367
datum674	14.193	10.511	19.645	1363.823
datum675	7.941	4.828	10.372	30.637
datum676	0.121	7.625	15.936	1252.272
datum677	10.536	15.787	12.771	67.348
datum678	0.134	15.062	11.290	129.668
datum679	1.772	12.388	19.804	38.389
datum680	17.089	15.972	19.843	22.133
datum681	7.441	15.029	13.477	42.358
datum682	8.095	1.375	12.107	35.462
datum683	16.797	3.282	10.284	51.411
datum684	4.129	14.486	15.663	20.744
datum685	9.887	2.621	15.115	40.820
datum686	8.004	0.995	19.354	32.282
datum687	7.594	14.675	12.291	38.752
datum688	12.473	10.342	11.477	50.705
datum689	9.752	10.663	12.061	105.472
datum690	4.720	11.448	15.704	182.869
datum691	6.333	10.592	17.771	143.877
datum692	4.037	13.954	19.850	87.369
datum693	16.353	12.444	18.335	142.898
datum694	14.948	5.691	10.085	30.835
datum695	16.051	14.371	12.653	22.001
datum696	5.188	9.450	10.699	26.474
